Topic,Category,Tags,Answer,Links,Text
Transparency Concerns,General,Guidelines,"We're all about transparency with our community and keeping a flexible atmosphere in our chats, encouraging open debates about the project's goals, achievements and roadblocks.

(https://minterest.com/blog/ama-recap-product-market-fit/#:~:text=Q8)",https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com,
Offensive Accusations,Community,Moderation,"Let's cultivate constructive dialogue, personal attacks may distract us from relevant discussions, so please always focus on sharing your perspectives in a friendly manner.",https://discord.com/channels/899176078843727884/1001464113739878412 on Minterest's Discord,
FUD & Scam Allegations,Community,"Safety, Guidelines","Minterest isn’t a scam ⁄ rug pull.
The project has implemented clear transparency measures and you may find reliable information in https://minterest.com/blog/minterest-security-incident-post-mortem-report or on https://docs.minterest.com/minterest-faq/security-audits/minterest-security-incident-documentation, where we outline the safety steps we've taken. To build trust, we've also published several audit reports that are open for public review.

The project has faced a number of critical challenges over the years which are publicly documented and despite it all the team has persevered, with Minterest hitting milestones like a $16M peak TVL and 100,000 followers in 2024. The focus is on sustainability and key TVL milestones to deliver real value, even if progress takes time.","https://minterest.com/blog/minterest-security-incident-post-mortem-report/
Explanation: Addresses trust and transparency, aligning with this blog’s focus on transparent incident reporting and user safety.",
Moderation Response,Community,Guidelines,"Answers may often be provided quickly — however, this isn't always possible due to the limited availability of moderation staff on weekdays or holidays. Thank you for your understanding.",https://discord.com/channels/899176078843727884/1001464113739878412 on Minterest's Discord,
Self Promoting,Community,Moderation,Please refrain from spamming or promoting other projects in the chat. Messages not adhering to this guideline will be deleted to maintain the chatroom's integrity.,https://discord.com/channels/899176078843727884/1001464113739878412 on Minterest's Discord,
Refund for Tokens,Community,Safety,"We’re not offering refunds, as the focus is on delivering value through a successful MINTY listing and sustainable growth.

The team is committed to building a successful product and ecosystem for all, even though this decision may be disappointing.","https://docs.minterest.com/minterest-faq/community-asks/support

https://minterest.com/blog/guide_to_public_distribution/
Explanation: Addresses token-related concerns, aligning with this blog’s discussion of token distribution and community support.",
Sharing Feedback,Community,"Partnerships, Development","You can share feedback via Telegram, Discord, or email at mailto:nextlevel@minterest.com. & find here https://minterest.com/blog/discover-minterests-new-homepage-in-2025/.","https://minterest.com/blog/discover-minterests-new-homepage-in-2025/
Explanation: Mentions feedback channels, aligning with this blog’s focus on community feedback prompts.",
Lack of Updates,General,"Partnerships, Development","Progress may feel slow, but unlike many projects that rushed and failed, Minterest has dealt with its own challenges and worked through them while remaining focused on lasting value. For MINTY holders, real value comes when TVL reaches critical mass, fuelling borrowing, lending, and fee generation to benefit the ecosystem and token demand, so prioritising innovation and the TVL milestone ensures a strong launch with utility, liquidity, and long-term upside, even if it takes longer.","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Addresses delays and TVL, matching this blog’s focus on market challenges and sustainable growth.

https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com",
Latest AMA,Community,Development,"For detailed insights, check out the http://minterest.com/blog/ama-recap-product-market-fit following our latest Telegram AMA, where key community questions were selected and addressed.",https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com,
Balance Check,Product,Guidelines,"To check your balance follow this steps:

#1 → Go to https://ethereum.minterest.com
#2 → Connect your wallet you used during CAE  LBP events
#3 → Go to the https://ethereum.minterest.com/dashboard
#4 → Scroll down until MINTEREST SUPPORTERS and you will see your balance

If it isn’t showing, then please check the following:

→ Check the network, you should be on Ethereum
→ Check the MetaMask account  MetaMask supports multiple accounts and you may have connected another wallet
→ Clear cache and reconnect
→ Try another browser  device to further isolate the problem

If you can’t find MetaMask in the wallets list, here’s https://www.blocknative.com/blog/metamask-wont-connect-web3-wallet-troubleshooting.","https://minterest.com/blog/how_to_participate_in_community_allocation/
Explanation: References CAE and wallet setup, aligning with this blog’s guide on community allocation participation.",
